,city,latitud,longitud,temperature,wind_speed,cloudiness,humidity
350,hammerfest,70.66,23.68,282.15,2.6,40,main.humidity
351,parrita,9.52,-84.33,295.37,1.0,0,main.humidity
352,ordubad,38.91,46.02,295.15,2.1,0,main.humidity
353,tabuk,17.41,121.44,301.659,1.54,7,main.humidity
354,sabha,27.03,14.43,302.079,3.71,0,main.humidity
355,sturgeon bay,44.83,-87.38,296.48,4.6,1,main.humidity
356,albina,5.5,-54.06,295.579,0.89,73,main.humidity
357,mount isa,-20.73,139.49,299.15,5.7,23,main.humidity
358,laela,-8.57,32.05,284.909,2.04,0,main.humidity
359,coahuayana,18.62,-100.35,294.809,0.83,100,main.humidity
360,san luis,-33.3,-66.34,285.429,4.91,100,main.humidity
361,tabas,33.6,56.92,305.15,2.1,81,main.humidity
362,touros,-5.2,-35.46,296.15,1.5,75,main.humidity
363,aasiaat,68.71,-52.87,277.089,3.33,56,main.humidity
364,nouadhibou,20.93,-17.03,293.15,8.7,2,main.humidity
365,belen,34.66,-106.78,304.82,5.1,1,main.humidity
366,grand gaube,-20.01,57.66,293.71,2.6,75,main.humidity
367,nong chik,6.84,101.18,300.429,2.63,100,main.humidity
368,sipe sipe,-17.45,-66.36,283.15,4.2,0,main.humidity
369,salamiyah,35.01,37.05,296.639,4.04,0,main.humidity
370,homa bay,-0.53,34.45,291.15,2.1,20,main.humidity
371,nimaparha,20.07,86.02,301.15,6.7,75,main.humidity
372,leshukonskoye,64.9,45.76,278.619,4.04,100,main.humidity
373,yeppoon,-23.13,150.74,298.15,3.6,75,main.humidity
374,fomboni,-12.28,43.74,297.369,9.4,77,main.humidity
375,chokurdakh,70.62,147.9,298.529,3.39,37,main.humidity
376,mayumba,-3.44,10.65,295.399,1.61,0,main.humidity
377,kaspiyskiy,45.39,47.37,299.169,1.74,56,main.humidity
378,thompson,55.74,-97.86,290.15,1.0,75,main.humidity
379,tete,-16.16,33.59,285.15,1.5,20,main.humidity
380,alice springs,-23.7,133.88,292.15,3.1,0,main.humidity
381,wasilla,61.58,-149.44,292.59,1.5,40,main.humidity
382,kandhla,29.32,77.27,309.519,7.3,10,main.humidity
383,vredefort,-27.0,27.37,276.639,1.08,0,main.humidity
384,la ronge,55.1,-105.3,286.15,3.1,90,main.humidity
385,gushikawa,26.35,127.87,305.15,6.2,75,main.humidity
386,saint-augustin,45.63,-73.98,298.15,1.0,40,main.humidity
387,haverfordwest,51.8,-4.97,290.37,2.1,95,main.humidity
388,lisa,42.25,43.76,287.369,1.94,70,main.humidity
389,coihaique,-45.58,-72.07,276.15,1.0,95,main.humidity
390,buarcos,40.16,-8.88,292.59,0.5,0,main.humidity
391,arandis,-22.42,14.98,285.37,1.79,0,main.humidity
392,praia da vitoria,38.73,-27.07,292.59,2.74,0,main.humidity
393,ouegoa,-20.34,164.44,294.729,4.01,27,main.humidity
394,varhaug,58.61,5.65,284.26,1.5,90,main.humidity
395,tahe,52.34,124.71,301.279,3.15,4,main.humidity
396,saint-paul,45.22,1.9,289.82,1.0,0,main.humidity
397,qasigiannguit,68.82,-51.19,278.15,1.5,0,main.humidity
398,castro-urdiales,43.38,-3.22,292.59,1.5,0,main.humidity
399,kavaratti,10.57,72.64,301.959,6.02,100,main.humidity
400,lazaro cardenas,28.39,-105.62,301.48,4.1,75,main.humidity
401,narkevychi,49.52,26.64,282.139,4.01,95,main.humidity
402,igarka,67.47,86.57,287.569,5.7,0,main.humidity
403,upington,-28.46,21.24,280.15,1.5,0,main.humidity
404,eten,-6.91,-79.86,291.15,5.1,0,main.humidity
405,priekule,56.45,21.6,282.15,2.22,100,main.humidity
406,mitsamiouli,-11.38,43.28,298.15,7.2,20,main.humidity
407,pangnirtung,66.15,-65.72,287.279,0.16,86,main.humidity
408,badiraguato,25.36,-107.55,304.82,1.36,5,main.humidity
409,prykolotne,50.16,37.35,284.859,1.55,0,main.humidity
