,city,latitud,longitud,temperature,wind_speed,cloudiness,humidity,date
282,ulverstone,-41.16,146.17,283.71,4.47,97,80,1562821273
283,fort nelson,58.81,-122.69,294.15,1.5,40,43,1562821274
284,ewa beach,21.32,-158.01,302.15,5.7,20,54,1562821274
285,southbridge,42.08,-72.03,295.93,3.6,1,77,1562821274
286,orange cove,36.62,-119.31,304.15,3.1,0,44,1562821275
287,bidar,17.91,77.52,301.7,9.32,100,64,1562821275
288,ayan,38.23,44.7,291.6,3.49,0,49,1562821275
289,novyy urengoy,66.08,76.63,285.8,9.6,93,76,1562821276
290,creel,27.75,-107.63,287.2,2.56,100,90,1562821276
291,khuzhir,53.19,107.35,298.6,1.24,34,41,1562821277
292,lokosovo,61.13,74.84,296.5,6.64,79,61,1562821277
293,mount gambier,-37.83,140.78,287.15,12.9,90,71,1562821277
294,komsomolskiy,67.55,63.78,291.3,6.82,83,75,1562821277
295,puerto madero,-34.61,-58.36,285.15,1.5,61,100,1562821278
296,dolores,-33.53,-58.22,285.37,0.89,84,93,1562821278
297,garowe,8.41,48.48,301.6,11.96,10,50,1562821278
298,codrington,-28.95,153.24,297.15,6.7,0,33,1562821279
299,iqaluit,63.75,-68.52,282.15,1.5,75,81,1562821279
300,isangel,-19.55,169.27,298.15,6.2,75,73,1562821278
301,tanete,-3.94,119.78,302.9,6.07,12,61,1562821279
302,martapura,-3.41,114.85,303.3,3.31,38,64,1562821280
303,piney green,35.09,-78.48,298.71,2.65,1,100,1562821280
304,santa cruz de tenerife,28.47,-16.25,294.82,6.2,90,88,1562821280
305,cayenne,4.94,-52.33,296.15,1.38,35,94,1562821281
306,strezhevoy,60.73,77.6,293.15,4.0,20,77,1562821281
307,muli,28.08,109.56,300.5,3.46,90,71,1562821281
308,jasper,33.83,-87.28,300.15,0.79,1,94,1562821281
309,thompson,55.74,-97.86,286.15,1.75,75,66,1562821282
310,kamenka,48.03,28.7,285.37,1.34,2,88,1562821282
311,ayna,38.55,-2.07,293.15,4.1,0,68,1562821283
312,yueyang,29.36,113.12,303.7,0.36,100,55,1562821283
313,bonavista,48.65,-53.11,281.48,0.45,46,84,1562821283
314,yabrud,33.97,36.66,297.15,5.7,0,60,1562821284
315,chumikan,54.72,135.31,286.9,3.05,80,81,1562821284
316,obligado,-27.06,-55.63,290.15,2.6,0,88,1562821285
317,ostrovnoy,68.05,39.51,277.6,10.08,100,85,1562821285
318,lumeje,-11.56,20.78,286.2,2.4,0,35,1562821285
319,sangar,63.92,127.47,301.4,5.52,96,39,1562821285
320,umm lajj,25.02,37.27,302.0,1.93,0,73,1562821286
321,itarema,-2.92,-39.92,295.8,2.85,12,85,1562821286
322,hofn,64.25,-15.21,277.7,0.89,100,81,1562821286
323,souillac,45.6,-0.6,293.71,1.24,0,77,1562821287
324,ancud,-41.87,-73.83,279.15,3.1,90,100,1562821288
325,bosansko grahovo,44.18,16.37,292.59,2.68,0,37,1562821288
326,caravelas,-17.73,-39.27,294.2,3.52,99,82,1562821289
327,goedereede,51.82,3.98,291.48,3.1,100,87,1562821289
328,luderitz,-26.65,15.16,290.15,4.1,0,65,1562821289
329,tura,64.27,100.22,288.5,4.81,100,82,1562821290
330,guerrero negro,27.97,-114.04,292.6,8.55,0,80,1562821290
331,alice springs,-23.7,133.88,294.15,4.1,9,19,1562821291
332,chuy,-33.69,-53.46,285.1,1.7,53,91,1562821291
333,kaeo,-35.1,173.78,285.8,1.34,0,88,1562821291
334,minab,27.15,57.07,307.15,2.1,21,59,1562821292
335,sesheke,-17.47,24.29,277.15,2.07,0,38,1562821292
336,sarh,9.14,18.39,296.15,5.1,20,88,1562821292
337,beira,43.2,-8.36,290.37,0.5,90,100,1562821292
338,soyo,-6.13,12.37,296.2,5.27,81,87,1562821293
339,xining,36.62,101.77,283.7,0.99,100,77,1562821293
340,kota kinabalu,5.98,116.07,306.15,2.6,75,66,1562821294
341,esperance,-33.86,121.89,288.15,6.7,40,77,1562821294
342,portland,43.66,-70.25,291.15,0.79,1,77,1562821221
343,pacifica,37.61,-122.49,291.15,3.1,1,93,1562821295
344,saint-denis,48.94,2.36,292.15,1.0,100,72,1562821295
345,pemba,-12.97,40.52,292.15,4.1,40,88,1562821295
346,calvinia,-31.47,19.78,286.7,4.93,0,24,1562821296
347,byron bay,-28.65,153.62,297.15,4.6,0,43,1562821296
348,simbahan,6.3,120.58,301.6,0.34,100,64,1562821296
349,chuzhou,32.25,118.33,304.8,0.41,1,40,1562821297
350,san policarpo,12.18,125.51,302.6,2.47,36,69,1562821297
351,gazojak,41.19,61.4,313.1,5.05,21,7,1562821297
352,zhuhai,40.71,112.04,299.15,2.0,20,44,1562821298
353,butwal,27.7,83.45,294.9,1.4,100,98,1562821298
354,kourou,5.16,-52.64,296.15,0.94,71,94,1562821298
355,honningsvag,70.98,25.97,282.15,1.5,0,76,1562821299
356,berlevag,70.86,29.09,282.15,1.5,0,76,1562821299
357,pimentel,-3.7,-45.5,293.9,0.16,2,98,1562821300
358,poum,41.28,20.71,285.15,4.1,0,66,1562821300
359,brits,-25.63,27.78,284.82,1.5,0,56,1562821300
360,virginia beach,36.85,-75.98,299.26,4.53,1,94,1562821095
361,wanning,48.64,13.53,286.48,3.1,40,76,1562821301
362,nueva concepcion,14.2,-91.3,300.4,1.53,83,75,1562821301
363,marystown,47.17,-55.16,280.8,3.01,67,90,1562821301
364,ilulissat,69.22,-51.1,278.15,1.5,34,93,1562821302
365,hokitika,-42.72,170.96,283.7,0.59,79,77,1562821302
366,saint anthony,43.97,-111.68,299.15,4.1,1,31,1562821303
367,santa maria,-16.02,-48.01,285.15,1.98,0,71,1562821303
368,shama,33.61,104.29,281.0,1.46,100,98,1562821303
369,yeppoon,-23.13,150.74,298.15,2.6,40,41,1562821304
370,dostpur,26.27,82.47,299.6,6.61,100,90,1562821304
371,kathu,-27.7,23.05,276.48,1.85,0,59,1562821304
372,oussouye,12.49,-16.54,299.1,3.86,27,84,1562821304
373,eureka,40.8,-124.16,291.15,3.1,90,87,1562821058
374,kysyl-syr,63.9,122.77,302.3,2.05,66,34,1562821305
375,sokoni,-12.89,28.78,286.4,2.92,28,48,1562821305
376,erzin,36.95,36.2,300.37,1.25,20,78,1562821306
377,casablanca,33.6,-7.62,292.15,2.6,75,93,1562821306
378,munster,41.56,-87.51,300.37,2.71,40,51,1562821306
379,pandan,11.72,122.09,302.4,3.48,0,72,1562821307
380,port-gentil,-0.72,8.78,296.5,4.88,82,85,1562821308
381,wajima,37.4,136.9,296.15,2.1,75,88,1562821308
382,awjilah,29.14,21.3,302.5,2.7,0,32,1562821308
383,bambanglipuro,-7.95,110.28,297.4,10.29,8,82,1562821309
384,mayo,63.59,-135.9,296.15,2.1,90,38,1562821309
